NonFormal;Formal
tidack;tidak
ngga;tidak
bkin;bikin
td;tadi
tpi;tapi
tp;tapi
ak;aku
yg;yang
gk;tidak
trsa;terasa
krna;karena
sekrang;sekarang
ppi;pipi
skrng;sekarang
skrang;sekarang
mang;memang
emang;memang
ilang;hilang
pdhal;padahal
ngga;tidak
bgt;banget
krn;karena
lgsg;langsung
skrg;sekarang
karna;karena
ngilangin;menghilangkan
bbrp;beberapa
gede;besar
kliatan;kelihatan
uda;sudah
gedhe;besar
aja;saja
gt;gitu
laki2;laki laki
dlm;dalam
jerawtnya;jerawatnya
produk2;produk-produk
ngrasa;merasa
ngrauh;berpengaruh
"gede""";gede-gede
bnyak;banyak
bnyk;banyak
sampe;sampai
smpe;sampai
ampe;sampai
nongol;muncul
ketarikkk;ketarik
pa;pas
jg;juga
jd;jadi
trs;terus
nyoba;mencoba
lama2;lama-lama
ssaja;saja
bgitu;begitu
sm;sama
lg;lagi
sangt;sangat
sssaja;saja
keset2;keset-keset
udh;sudah
emng;memang
awal2;awal-awal
ngerti;mengerti
ngaruh;berpengaruh
dikit;sedikit
ssaja;saja
nggak;tidak
udahnya;sesudahnya
ngebersiinnya;membersihkannya
pake;pakai
ngangkat;mengangkat
udah;sudah
banget;sekali
mengunakanya;menggunakannya
atidak;tidak
ssaja;saja
dr;dari
dll;dan lain-lain
emng;memang
ke2;ke dua
bgt;sekali
banget;sekali
udah;sudah
tetep;tetap
atidak;tidak
nga;tidak
emng;memang
rb;ribu
ngabisin;menghabiskan
minguan;mingguan
ga;tidak
ngak;tidak
brp;berapa
bbrp;beberapa
kek;kayak
gangu;mengganggu
